depth	min	max	median	mean
9	545	662	606	606
10	581	947	696	714
11	597	1276	780	822
12	665	1431	899	935
13	696	1651	1002	1048
14	769	1785	1125	1163
15	816	1945	1243	1278
16	900	2048	1354	1386
17	959	2226	1463	1494
18	1048	2322	1579	1605
19	1108	2477	1697	1716
20	1190	2568	1808	1824
21	1266	2718	1912	1932
22	1357	2831	2030	2043
23	1420	2980	2139	2154
24	1537	3092	2249	2268
25	1613	3232	2366	2383
26	1724	3328	2488	2493
27	1804	3465	2599	2602
28	1903	3560	2705	2708
29	1979	3672	2818	2814
30	2064	3764	2930	2923
31	2161	3889	3035	3033
32	2276	3977	3158	3142
33	2375	4078	3272	3251
34	2527	4170	3390	3364
35	2636	4291	3504	3476
36	2750	4363	3616	3585
37	2819	4477	3726	3695
38	2989	4577	3846	3820
39	3081	4684	3970	3946
40	3302	4766	4119	4094
41	3424	4894	4272	4243
42	3637	4963	4409	4383
43	3806	5069	4550	4523
44	4141	5123	4692	4677
45	4329	5227	4846	4832
46	4644	5298	4980	4992
47	4794	5543	5143	5151
48	4977	5759	5311	5329
49	5041	6175	5474	5506
50	5191	6409	5667	5701
51	5275	6795	5844	5897
52	5428	6954	6031	6073
53	5515	7195	6209	6250
54	5675	7368	6407	6437
55	5769	7633	6598	6624
56	5947	7776	6792	6809
57	6044	8022	6981	6995
58	6238	8161	7172	7174
59	6378	8348	7362	7354
60	6594	8471	7561	7546
61	6709	8675	7757	7737
62	6906	8800	7940	7913
63	7024	8982	8119	8090
64	7231	9084	8321	8274
65	7393	9255	8513	8459
66	7632	9321	8707	8645
67	7781	9442	8914	8832
68	8032	9504	9112	9021
69	8184	9627	9331	9210
70	8350	9674	9457	9324
71	8472	9788	9564	9438
72	8566	9841	9607	9493
73	8672	9937	9644	9548
74	8763	9998	9684	9596
75	8807	10081	9720	9645
76	8885	10121	9762	9691
77	8939	10189	9797	9737
78	9035	10237	9837	9785
79	9126	10315	9877	9832
80	9198	10351	9915	9878
81	9266	10412	9952	9924
82	9338	10460	9995	9970
83	9391	10524	10034	10016
84	9468	10575	10076	10062
85	9534	10629	10117	10108
86	9619	10705	10157	10155
87	9698	10780	10197	10202
88	9775	10824	10235	10246
89	9854	10883	10272	10291
90	9940	10925	10308	10337
91	10001	10990	10346	10383
92	10090	11026	10387	10429
93	10156	11079	10426	10474
94	10247	11139	10478	10532
