項番	番号	都道府県	遺跡名	所在地	サンプル採取地点等	試料の種類	試料コード1	試料コード2	時代	時代詳細	時代コード	試料番号	測定方法	C14年代	C14年代±	暦年較正用C14年代	暦年較正用C14年代±	δ13C（AMS）	δ13C（AMS）±	δ13C（IRMS）	分析者（著者）	分析機関	刊行年	報告タイトル	ページ	備考	報告書名	発行者
1	6414	13：東京都	No.68遺跡	台東区浅草	基本層序第8e層	マガキ	M	n	弥生時代中期〜後期	----	C	NU-1674	β線法	2160	90	----	----	----	----	----	台東区遺跡調査会	日本大学年代測定室	2004	科学分析	33	----	台東区埋葬文化財発掘調査報告書第25集　No.68遺跡	台東区文化財調査会
2	6416	13：東京都	No.68遺跡	台東区浅草	基本層序第9層	ナミマガシワ･カガミガイ他	M	n	弥生時代中期〜後期	----	C	NU-1676	β線法	2480	70	----	----	----	----	----	台東区遺跡調査会	日本大学年代測定室	2004	科学分析	33	----	台東区埋葬文化財発掘調査報告書第25集　No.68遺跡	台東区文化財調査会
3	6415	13：東京都	No.68遺跡	台東区浅草	基本層序第9層	マガキ	M	n	弥生時代中期〜後期	----	C	NU-1675	β線法	3580	80	----	----	----	----	----	台東区遺跡調査会	日本大学年代測定室	2004	科学分析	33	----	台東区埋葬文化財発掘調査報告書第25集　No.68遺跡	台東区文化財調査会
4	6413	13：東京都	No.68遺跡	台東区浅草	基本層序第8a層	マガキ	M	n	弥生時代中期〜後期	----	C	NU-1673	β線法	2055	90	----	----	----	----	----	台東区遺跡調査会	日本大学年代測定室	2004	科学分析	33	----	台東区埋葬文化財発掘調査報告書第25集　No.68遺跡	台東区文化財調査会
5	6421	13：東京都	なすな原近隣遺跡	町田市	ローム層BO No.3	木炭	T	f	縄文時代草創期	----	B	不明	β線法	8830	170	----	----	----	----	----	なすな原近隣遺跡調査会	社団法人日本アイソトープ協会	1978	ローム層における遺構･遺物	p11-12	----	なすな原近隣遺跡調査報告書	なすな原近隣遺跡調査会
6	6420	13：東京都	なすな原近隣遺跡	町田市	ソフトローム層No1、2	木炭	T	f	縄文時代草創期	----	B	不明	β線法	9090	130	----	----	----	----	----	なすな原近隣遺跡調査会	社団法人日本アイソトープ協会	1978	ローム層における遺構･遺物	p11-12	----	なすな原近隣遺跡調査報告書	なすな原近隣遺跡調査会
7	6418	13：東京都	ココマ遺跡	三宅村	不明	イノシシ　右第三後臼歯	T	a	弥生時代中期後葉末	----	C	TG106081	AMS法	----	----	1853	86	----	----	-20.3	覚張隆史･米田穣(東京大学大学院新領域創成科学研究科)	東京大学大学院工学系研究科タンデム加速器研究施設	2011	ココマ遺跡出土イノシシ類の化学分析	35-41	----	島の考古学研究会調査研究報告所3　三宅島ココマ遺跡　動物と生業の研究	島の考古学研究会
8	6419	13：東京都	ココマ遺跡	三宅村	不明	イノシシ　右下顎骨･第三後臼歯	T	a	弥生時代中期後葉末	----	C	TG106082	AMS法	----	----	2035	85	----	----	-22	覚張隆史･米田穣(東京大学大学院新領域創成科学研究科)	東京大学大学院工学系研究科タンデム加速器研究施設	2011	ココマ遺跡出土イノシシ類の化学分析	35-41	----	島の考古学研究会調査研究報告所3　三宅島ココマ遺跡　動物と生業の研究	島の考古学研究会
9	6417	13：東京都	ココマ遺跡	三宅村	不明	イノシシ　右第二後臼歯	T	a	弥生時代中期後葉末	----	C	TG106080	AMS法	----	----	2331	90	----	----	21.5	覚張隆史･米田穣(東京大学大学院新領域創成科学研究科)	東京大学大学院工学系研究科タンデム加速器研究施設	2011	ココマ遺跡出土イノシシ類の化学分析	35-41	----	島の考古学研究会調査研究報告所3　三宅島ココマ遺跡　動物と生業の研究	島の考古学研究会
10	6962	13：東京都	三吉野遺跡群井戸端地区	東京都西多摩郡日の出町大字平井字三吉野	1区　SX02	炭化物	T	h	縄文時代中期初頭	五領ヶ台式	B	IAAA-92156	AMS法	4510	40	4509	35	-27.97	0.21	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2010	三吉野遺跡群井戸端地区の自然化学分析調査成果報告	p11-22	----	平井ッ原の地形と縄文人-三吉野遺跡群井戸端地区とその周辺-	日の出町教育委員会
11	6961	13：東京都	三吉野遺跡群井戸端地区	東京都西多摩郡日の出町大字平井字三吉野	1区　SX01	炭化物	T	h	縄文時代中期初頭	五領ヶ台式	B	IAAA-92154	AMS法	4520	30	4524	33	-27.33	0.59	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2010	三吉野遺跡群井戸端地区の自然化学分析調査成果報告	p11-22	----	平井ッ原の地形と縄文人-三吉野遺跡群井戸端地区とその周辺-	日の出町教育委員会
12	6960	13：東京都	三吉野遺跡群井戸端地区	東京都西多摩郡日の出町大字平井字三吉野	拡張区　FP-1	炭化物	T	h	縄文時代中期初頭	五領ヶ台式	B	IAAA-92601	AMS法	4520	30	4523	26	-22.23	0.51	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2010	三吉野遺跡群井戸端地区の自然化学分析調査成果報告	p11-22	----	平井ッ原の地形と縄文人-三吉野遺跡群井戸端地区とその周辺-	日の出町教育委員会
